stamp_sec,cross_track_error,heading_error,steering_command,steering_oscillation,commanded_speed,curvature,control_latency_ms,lookahead_distance,target_x,target_y,path_pose_count
1782712948.39511,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11676400026772171,0.8,0.0,0.0,5
1782712948.4948926,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07738100066490006,0.8,0.0,0.0,5
1782712948.5949826,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06278399996517692,0.8,0.0,0.0,5
1782712948.694364,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06773400036763633,0.8,0.0,0.0,5
1782712948.7941258,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.046367000322788954,0.8,0.0,0.0,5
1782712948.894435,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06894899979670299,0.8,0.0,0.0,5
1782712948.994623,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.05789799979538657,0.8,0.0,0.0,5
1782712949.0950277,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1269470003535389,0.8,0.0,0.0,5
1782712949.1940975,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09302400030719582,0.8,0.0,0.0,5
1782712949.2952418,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11561599967535585,0.8,0.0,0.0,5
1782712949.3946364,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06619499981752597,0.8,0.0,0.0,5
1782712949.4949315,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.12021400016237749,0.8,0.0,0.0,5
1782712949.5947394,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.09230799969373038,0.8,0.0,0.0,5
1782712949.6951623,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11946299946430372,0.8,0.0,0.0,5
1782712949.7943902,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.06988000041019404,0.8,0.0,0.0,5
1782712949.894805,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0980990007519722,0.8,0.0,0.0,5
1782712949.9952939,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11974600056419149,0.8,0.0,0.0,5
1782712950.094673,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.0647610004307353,0.8,0.0,0.0,5
1782712950.194812,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07484299931093119,0.8,0.0,0.0,5
1782712950.2943373,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.07000799996603746,0.8,0.0,0.0,5
1782712950.3952553,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.1186339995911112,0.8,0.0,0.0,5
1782712950.4952054,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11627200001385063,0.8,0.0,0.0,5
1782712950.5952535,0.8008712859999998,3.141592653589793,4.592425496802574e-16,0.0,0.0,3.0616169978683826e-16,0.11467599961179076,0.8,0.0,0.0,5
